epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,235.696,0.87857,0.5028,0.87196,0.93203,0.99114,0.97933,0.75018,1.02127,0.48015,0.88485,0.000307,0.000307,0.000307
44,240.462,0.88819,0.53324,0.86606,0.94977,0.97927,0.97933,0.77132,1.01713,0.48036,0.88799,0.0002905,0.0002905,0.0002905
45,243.977,0.86938,0.49601,0.88004,0.9534,0.98082,0.98033,0.76278,1.00431,0.4775,0.88668,0.000274,0.000274,0.000274
46,248.156,0.8459,0.48874,0.87994,0.94242,0.95708,0.97933,0.75956,1.01322,0.50281,0.89205,0.0002575,0.0002575,0.0002575
47,254.489,0.86735,0.49101,0.85842,0.94606,0.98626,0.97933,0.74684,1.0501,0.51071,0.9054,0.000241,0.000241,0.000241
48,259.078,0.86484,0.47297,0.86048,0.95305,0.9724,0.9782,0.7652,1.02532,0.47695,0.90313,0.0002245,0.0002245,0.0002245
49,262.795,0.89155,0.47839,0.88131,0.94951,0.96595,0.97802,0.75169,1.00492,0.47692,0.8963,0.000208,0.000208,0.000208
50,267.45,0.83153,0.47544,0.86334,0.95015,0.96921,0.97778,0.75107,1.02889,0.48378,0.90139,0.0001915,0.0001915,0.0001915
51,288.135,0.82267,0.48643,0.85641,0.94524,0.9654,0.97712,0.7374,1.08623,0.50518,0.91633,0.000175,0.000175,0.000175
52,298.145,0.80152,0.46855,0.87498,0.93403,0.98235,0.97907,0.74017,1.09729,0.4925,0.91837,0.0001585,0.0001585,0.0001585
53,307.72,0.78025,0.44232,0.85632,0.95425,0.96938,0.98015,0.75253,1.07588,0.47543,0.91065,0.000142,0.000142,0.000142
54,312.482,0.8149,0.43397,0.8678,0.95316,0.96854,0.97915,0.75641,1.01873,0.44998,0.88839,0.0001255,0.0001255,0.0001255
55,316.832,0.79863,0.43043,0.85705,0.94219,0.976,0.97842,0.75253,1.00256,0.44843,0.88458,0.000109,0.000109,0.000109
56,322.323,0.80183,0.41934,0.85752,0.94129,0.9671,0.97824,0.74771,1.02891,0.46165,0.88894,9.25e-05,9.25e-05,9.25e-05
57,328.003,0.79049,0.42406,0.8715,0.93767,0.97563,0.97824,0.74676,1.03216,0.46597,0.893,7.6e-05,7.6e-05,7.6e-05
58,331.783,0.7814,0.47663,0.85501,0.93923,0.97606,0.978,0.7504,1.07046,0.48864,0.90963,5.95e-05,5.95e-05,5.95e-05
59,335.626,0.78491,0.42911,0.85562,0.94077,0.97548,0.978,0.73975,1.09822,0.49875,0.92419,4.3e-05,4.3e-05,4.3e-05
60,341.651,0.8222,0.45651,0.86683,0.93943,0.9732,0.978,0.73528,1.10943,0.50973,0.92996,2.65e-05,2.65e-05,2.65e-05
